CrashId,Date Of Crash,Period,Crash Severity Text Format,Most Severe Injury Text Format,Number Of Motor Vehicles,Road Description,Manner of Crash / Collision Impact Text Format,Weather Condition Text Format,Latitude,Longitude,NearestSpeedhump,NearestSpeedhumpDistance,NearestSpeedhumpInstallDate
113227,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,044,Angle,Clear,41.77824700,-72.68659200,P,669.0691240172969,Oct-18
113229,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),4,WEBSTER ST,Front to rear,Clear,41.74475600,-72.68294900,P,731.7182160135741,Oct-18
113751,2015-11-03,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.77076700,-72.67758100,F,1930.9325745327756,
113758,2015-11-03,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),1,091,Not Applicable,Clear,41.74774900,-72.65879000,O,2199.0742983558644,Several years ago
113764,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Clear,41.77145800,-72.66804500,F,3350.8001472476303,
113769,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.77039200,-72.68173200,P,1978.3529926733645,Oct-18
113778,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.74493300,-72.66198800,F,1858.275325855574,
113832,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),3,091,Front to rear,Clear,41.76501200,-72.66792800,O,3099.829369076289,Several years ago
114203,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),3,EXETER ST,"Sideswipe, opposite direction",Clear,41.72741000,-72.69887900,F,487.50665082151204,
114206,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),1,COLEBROOK ST,Not Applicable,Clear,41.79471000,-72.69996300,F,390.618961225181,
114207,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Serious Injury (A),2,WASHINGTON ST,Angle,Cloudy,41.74916400,-72.68330400,F,560.7491274708708,
114209,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,ASYLUM AV,Front to rear,Clear,41.76847300,-72.68615000,F,1242.757420541875,
114210,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,WYLLYS ST,"Sideswipe, opposite direction",Clear,41.75875300,-72.66948500,O,1159.9925489733555,Several years ago
114211,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,BROAD ST,Angle,Clear,41.73903900,-72.68720600,F,424.725701888735,
114212,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,PARK TER,"Sideswipe, same direction",Clear,41.75818200,-72.69345900,P,878.5795473640354,Oct-18
114214,2015-11-06,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,NEW BRITAIN AV,"Sideswipe, same direction",Clear,41.74407000,-72.68916400,P,883.1851217391961,Oct-18
114216,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,044,Front to rear,Clear,41.78072000,-72.69234700,O,646.4343641653579,Several years ago
114426,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),3,015,Front to rear,Clear,41.73326300,-72.66376700,F,2001.0137696577658,
114429,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.77115000,-72.67884000,F,1733.5115350800813,
114438,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,015,Front to rear,Clear,41.74231000,-72.66147000,F,2094.5142338640394,
114449,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Angle,Rain,41.76178700,-72.69696100,P,971.471799954443,Oct-18
114486,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.74230200,-72.66348500,F,1586.2140366684364,
114489,2015-11-06,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),5,091,Front to rear,Clear,41.74224200,-72.66310700,F,1688.8530227592355,
114490,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.76377600,-72.69427000,P,948.1748529370515,Oct-18
114494,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.75273400,-72.70190100,P,850.718588691016,Oct-18
114507,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),1,091,Not Applicable,Clear,41.77321500,-72.66872300,F,2865.26640676458,
114511,2015-12-03,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,084,Front to rear,Clear,41.76965000,-72.66767900,F,3838.779731118825,
114694,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,CLEVELAND AV,"Sideswipe, opposite direction",Clear,41.79478600,-72.66846400,P,253.64128055443658,Oct-18
114695,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,MAIN ST NO 1,Front to rear,Clear,41.77540900,-72.67684100,F,587.6998787205397,
114697,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,ADAMS ST,"Sideswipe, same direction",Clear,41.78349200,-72.69908900,O,401.04729831267554,Several years ago
114699,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,CHARLOTTE ST,Rear to side,Clear,41.79425400,-72.68021400,P,150.47038479107215,Oct-18
114701,2015-11-08,2015/2016,Property Damage Only,No Apparent Injury (O),2,WASHINGTON ST,Front to rear,Clear,41.75297400,-72.68298000,F,846.6415116595291,
114704,2015-11-06,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,NEW BRITAIN AV,Front to rear,Clear,41.74139100,-72.69392200,F,758.669023562833,
114705,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,WINDSOR ST,Front to rear,Clear,41.79101200,-72.66872400,P,1289.897904894447,Oct-18
114707,2015-11-08,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,WALNUT ST,Angle,Clear,41.77257300,-72.68102500,F,1287.5559315615037,
114873,2015-11-06,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.76244700,-72.69670300,P,816.9655738901197,Oct-18
114936,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),3,091,Front to rear,Clear,41.77062700,-72.66872100,F,3390.180652939816,
114956,2015-11-08,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.76836500,-72.68360700,F,1918.6957511621479,
114957,2015-11-08,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,084,Front to rear,Clear,41.75003900,-72.71324800,P,1882.0139661284938,Oct-18
116502,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,044,"Sideswipe, same direction",Clear,41.78316800,-72.69916600,O,514.4215356112901,Several years ago
116503,2015-11-08,2015/2016,Property Damage Only,No Apparent Injury (O),2,COLUMBUS BLVD,Front to rear,Clear,41.76190400,-72.67030300,O,1795.2409663342314,Several years ago
116504,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),3,GARDEN ST NO 1,Angle,Clear,41.77912000,-72.68517300,P,658.9779842887019,Oct-18
116505,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,MARKET ST,"Sideswipe, same direction",Clear,41.77101000,-72.67076100,F,2888.7547067408136,
116506,2015-11-09,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),3,091,Front to rear,Clear,41.78811300,-72.65965300,P,3146.5608205067983,Oct-18
116507,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,BALTIC ST,Rear to rear,Clear,41.80178600,-72.69208100,F,392.3539455423401,
116509,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,ASYLUM ST,Angle,Clear,41.76809400,-72.68358400,F,1950.9254070392658,
116510,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,WESTON ST,Angle,Clear,41.78387400,-72.66501200,P,2147.676609802705,May-19
116511,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,COLUMBUS BLVD,Front to rear,Clear,41.76584400,-72.66958400,O,3192.5455583975636,Several years ago
116512,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,HUDSON ST,Front to rear,Clear,41.76255100,-72.67645300,O,1993.4037448607805,Several years ago
116513,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,WINTHROP ST,Not Applicable,Clear,41.77236800,-72.67419700,F,1908.8226476916548,
116514,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,MARGARITA DR,Front to rear,Clear,41.73802600,-72.70530900,F,968.5210732941256,
116515,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,STATE ST,Angle,Cloudy,41.76551600,-72.66961200,O,3077.326397979195,Several years ago
116517,2015-11-10,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,CAMPFIELD AV,Angle,Rain,41.74104600,-72.68255300,O,471.10804421653495,Several years ago
116519,2015-11-10,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),4,044,Front to rear,Rain,41.77917600,-72.68873500,P,500.79743262492843,Oct-18
116592,2015-11-09,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,NEW BRITAIN AV,Front to rear,Clear,41.74396000,-72.68936000,P,942.5559144523402,Oct-18
119392,2015-11-08,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.74746800,-72.65909800,O,2168.253473261181,Several years ago
119415,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Clear,41.75704800,-72.66242300,O,2684.4421133942483,Several years ago
119441,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.76959200,-72.67182100,F,3087.709847894386,
119464,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.76754900,-72.66844100,O,3882.882166339552,Several years ago
119468,2015-11-09,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.76995900,-72.68269300,P,2025.8736137480246,Oct-18
119481,2015-11-15,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),3,091,Front to rear,Clear,41.75488300,-72.65983900,O,2415.238944250769,Several years ago
119488,2015-12-02,2015/2016,Property Damage Only,No Apparent Injury (O),3,084,Front to rear,Clear,41.76527300,-72.69018500,F,1591.663577656233,
120274,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,WOODLAND ST,Not Applicable,Clear,41.76735000,-72.70241000,P,1282.279041598066,Oct-18
120276,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,044,Angle,Clear,41.77810400,-72.68607400,P,768.121587875953,Oct-18
120451,2015-11-03,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.76818300,-72.68340600,F,1988.5858069681876,
120477,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.77041200,-72.68219900,P,1918.2615093792488,Oct-18
120492,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Rain,41.79146400,-72.65582200,O,3248.457338958521,Several years ago
120497,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Rain,41.76352100,-72.69523000,P,819.3302180892779,Oct-18
120549,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Rain,41.76972600,-72.66860700,F,3635.0725960809455,
121060,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,PROSPECT AV,Front to rear,Rain,41.77200700,-72.71604400,P,439.68390583342415,Oct-18
121061,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,ASYLUM AV,Angle,Rain,41.77078100,-72.69531600,O,506.46952414788734,Several years ago
121062,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,WELLS ST,Front to rear,Rain,41.76305600,-72.67576900,O,2098.2636278678096,Several years ago
121063,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,CAPITOL AV,Angle,Rain,41.76254700,-72.68140200,P,2050.499216087969,Oct-18
121065,2015-11-11,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,BOCE BARLOW WAY,Angle,Rain,41.78900900,-72.66211700,P,2464.5357072585875,Oct-18
121073,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,BROOKFIELD ST,Angle,Rain,41.75133000,-72.69990200,P,299.88592812380915,Oct-18
121074,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,CAMPFIELD AV,Not Applicable,Rain,41.74219800,-72.68257400,O,574.6699311911773,Several years ago
121075,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,HUYSHOPE AV,Front to rear,Rain,41.75206400,-72.66025600,O,1739.1228872019797,Several years ago
121076,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,WEBSTER ST,Angle,Rain,41.74538900,-72.68302200,F,720.298298110755,
121078,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,FRANKLIN AV,Angle,Rain,41.74464700,-72.67663900,F,314.987355001476,
121079,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,PROSPECT AV,Angle,Rain,41.75266800,-72.71498400,P,1996.5100124532933,Oct-18
121083,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,MAIN ST NO 1,Front to rear,Rain,41.79251200,-72.66785700,P,706.5890302171757,Oct-18
121087,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,CAMPFIELD AV,Angle,Clear,41.73888500,-72.68255000,P,593.5892113531678,Oct-18
121088,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,COOLIDGE ST,Not Applicable,Rain,41.73894000,-72.69830000,P,639.8431239751135,Oct-18
121089,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,044,"Sideswipe, opposite direction",Cloudy,41.77826200,-72.68667700,P,657.6826787244369,Oct-18
121839,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,084,Not Applicable,Rain,41.76606400,-72.68532200,F,1907.495204490974,
121859,2015-11-11,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),1,091,Not Applicable,Rain,41.75003000,-72.65915100,O,1907.9884246516085,Several years ago
121872,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,084,Not Applicable,Rain,41.77102000,-72.67916800,F,1775.340069931193,
121878,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,015,Angle,Rain,41.75030900,-72.65809800,O,2194.1859667960157,Several years ago
121879,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Rain,41.76184619,-72.69954536,P,854.1053322198591,Oct-18
121887,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,091,Not Applicable,Rain,41.76977700,-72.66868700,F,3606.4747411454437,
121896,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Rain,41.77094600,-72.68030500,F,1818.2497061291785,
121903,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.78417500,-72.66057100,P,3294.5739374477894,May-19
121906,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,091,Not Applicable,Clear,41.76696900,-72.66756800,O,3780.1830298374844,Several years ago
121964,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,084,"Sideswipe, same direction",Cloudy,41.76815700,-72.68346000,F,1976.9548681999697,
121968,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Cloudy,41.77097700,-72.68026000,F,1805.4144793800665,
123330,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,WESTON ST,Angle,Clear,41.78908200,-72.66207900,P,2449.5055602954735,Oct-18
123334,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),1,ZION ST NO 1,Not Applicable,Clear,41.74979600,-72.69395200,F,631.244393182435,
123338,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.73106300,-72.66160100,P,2345.903114271271,Oct-18
123340,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,WEST BOULEVARD,"Sideswipe, opposite direction",Clear,41.76107900,-72.71417000,P,605.7564254550603,Oct-18
123341,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,BROAD ST,Front to rear,Clear,41.76302500,-72.68674400,P,1135.1931289998176,Oct-18
123381,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),1,MAIN ST NO 2,Not Applicable,Rain,41.76580800,-72.67335200,O,3001.944695005811,Several years ago
123382,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,PARK ST,Front to rear,Rain,41.75674800,-72.70905400,P,486.73574440789287,Oct-18
123384,2015-11-13,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),1,PARK ST,Not Applicable,Clear,41.75792400,-72.68234500,P,507.36277110519404,Oct-18
125709,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,091,Front to rear,Rain,41.78900800,-72.65675300,P,3538.469642645124,Oct-18
125763,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,015,Front to rear,Rain,41.74528000,-72.66051000,F,2276.7395218848596,
125794,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),1,084,Not Applicable,Clear,41.76979700,-72.68272300,P,2079.7370907096606,Oct-18
125799,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),3,091,Front to rear,Clear,41.77625100,-72.66795100,F,2370.818262108684,
125812,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),3,091,"Sideswipe, same direction",Clear,41.79210600,-72.65568800,O,3101.9189800272266,Several years ago
125817,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,"Sideswipe, same direction",Clear,41.74653800,-72.65981100,O,2188.1094734096478,Several years ago
125831,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Clear,41.72980600,-72.65956800,P,2756.6639478184056,Oct-18
125842,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Clear,41.79135300,-72.65583400,O,3276.850596982795,Several years ago
126788,2015-11-10,2015/2016,Property Damage Only,No Apparent Injury (O),2,WASHINGTON ST,Angle,Cloudy,41.75779700,-72.68239900,P,473.583182875804,Oct-18
126791,2015-11-13,2015/2016,Property Damage Only,No Apparent Injury (O),2,CHURCH ST,Angle,Clear,41.76880000,-72.67555800,F,2787.2208253820922,
126793,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Not Applicable,Clear,41.78680000,-72.65660000,P,4073.9159391012236,Oct-18
126794,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,MORNINGSIDE ST WEST,Angle,Clear,41.80683000,-72.69565800,P,469.4930509998575,Oct-18
126795,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,ASYLUM ST,"Sideswipe, same direction",Clear,41.76728300,-72.67696500,F,3205.3117327649284,
126797,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,HOMESTEAD AV,"Sideswipe, same direction",Clear,41.77766300,-72.69521600,P,507.19284116318386,Oct-18
126799,2015-11-14,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,HILLSIDE AV,Front to rear,Clear,41.74236000,-72.69805900,F,517.8725490268774,
127030,2015-11-14,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,091,Front to rear,Clear,41.75884900,-72.66460600,O,2452.8310709740454,Several years ago
128247,2015-11-14,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),1,ANN ST NO 1,Not Applicable,Clear,41.76650300,-72.67817500,F,3436.4034719298115,
131249,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,ARCH ST,Front to rear,Clear,41.76144200,-72.67022800,O,1659.7756775199011,Several years ago
132948,2015-11-15,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,BARBOUR ST,Front to rear,Clear,41.79255700,-72.67749000,F,307.7613342795819,
132950,2015-11-03,2015/2016,Property Damage Only,No Apparent Injury (O),1,FRASER PL,Not Applicable,Clear,41.77310400,-72.68503200,P,783.0225834352125,Oct-18
132952,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,PARK ST,Angle,Clear,41.75810500,-72.68926500,P,325.28312007144905,Oct-18
132953,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,MAIN ST NO 1,"Sideswipe, same direction",Clear,41.78949300,-72.67146800,P,1145.9780728196456,May-19
132954,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,LAUREL ST,Other,Clear,41.76267600,-72.69706200,P,689.5349248547882,Oct-18
132955,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),3,NEW BRITAIN AV,Other,Clear,41.74224800,-72.69220600,F,1094.1575705538412,
132956,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,BURNHAM ST,Angle,Clear,41.80491600,-72.70567000,F,927.3719373770057,
132957,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Serious Injury (A),2,GARDEN ST NO 1,Angle,Clear,41.77859900,-72.68533700,P,737.6753787381425,Oct-18
132958,2015-11-07,2015/2016,Property Damage Only,No Apparent Injury (O),2,CANTERBURY ST,Not Applicable,Clear,41.78737600,-72.69712900,P,420.3913606166503,Oct-18
132960,2015-11-06,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,PARK ST,Angle,Clear,41.75641100,-72.71458600,P,945.1715848198154,Oct-18
132961,2015-11-07,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,PARK ST,Angle,Clear,41.75807200,-72.68798800,P,487.35646713342146,Oct-18
132963,2015-11-11,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),3,NEW BRITAIN AV,Angle,Rain,41.74574200,-72.68616500,P,481.6218286925046,Oct-18
132964,2015-11-11,2015/2016,Property Damage Only,No Apparent Injury (O),1,MAIN ST NO 1,Not Applicable,Clear,41.77523200,-72.67665700,F,669.4204978791357,
132965,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,BRAINARD RD,Angle,Rain,41.73921500,-72.65941800,O,1521.2903091195271,Several years ago
132966,2015-11-12,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,VERNON ST NO 2,Angle,Cloudy,41.75139900,-72.68387900,F,930.4365646007606,
132967,2015-11-13,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),5,044,Angle,Clear,41.78154000,-72.69433200,O,440.729159406365,Several years ago
132968,2015-11-13,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),3,MAIN ST NO 2,Front to rear,Clear,41.75695200,-72.67578600,O,680.6324563339583,Several years ago
132971,2015-11-16,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Serious Injury (A),1,TRUMBULL ST,Not Applicable,Clear,41.77105700,-72.67126800,F,2781.4376740100774,
132972,2015-11-14,2015/2016,Property Damage Only,No Apparent Injury (O),2,HAMILTON ST,"Sideswipe, opposite direction",Clear,41.75308100,-72.70002000,P,897.8490999331271,Oct-18
