Type,Lat,Long,Street Name,O / P,Intall Date
Speed Bump,41.75999511760,-72.70501209830,Hazel Street,P,Oct-18
Speed Bump,41.76030401610,-72.70303928120,Arbor Street,P,Oct-18
Speed Bump,41.76518838730,-72.69870114210,S. Marshall Street,P,Oct-18
Speed Bump,41.76410642980,-72.69871653580,S. Marshall Street,P,Oct-18
Speed Bump,41.77372672590,-72.71378085880,N. Beacon Street,P,Oct-18
Speed Bump,41.77203319860,-72.71443256550,N. Beacon Street,P,Oct-18
Speed Bump,41.78001027200,-72.68727594530,Magnolia Street,P,Oct-18
Speed Bump,41.80607120490,-72.69426631760, Euclid Street,P,Oct-18
Speed Bump,41.80615153580,-72.69290991840, Euclid Street,P,Oct-18
Speed Bump,41.78206005440,-72.68681656120,Magnolia Street,P,Oct-18
Speed Bump,41.78310312750,-72.68654568990,Magnolia Street,P,Oct-18
Speed Bump,41.79439283270,-72.68073366990,Charlotte Street,P,Oct-18
Speed Bump,41.79389151920,-72.67899136660,Charlotte Street,P,Oct-18
Speed Bump,41.77525219950,-72.68496392290,Liberty Street,P,Oct-18
Speed Bump,41.73601102220,-72.69433699570,Cheshire Street,P,Oct-18
Speed Bump,41.72846349850,-72.67588891560,Montowese Street,P,Oct-18
Speed Bump,41.72799400480,-72.67936840520,Montowese Street,P,Oct-18
Speed Bump,41.77601948910,-72.69432317060,Sargeant Street,P,Oct-18
Speed Bump,41.77633377010,-72.69576750180,Sargeant Street,P,Oct-18
Speed Bump,41.76527248190,-72.69711316240,Laurel Street,P,Oct-18
Speed Bump,41.79806400190,-72.70545158240,Branford Street,P,Oct-18
Speed Bump,41.79818963480,-72.70331871100,Branford Street,P,Oct-18
Speed Bump,41.79937405430,-72.69180345680,Woodstock Street,P,Oct-18
Speed Bump,41.79532546310,-72.70495031130,Holcomb Street,P,Oct-18
Speed Bump,41.79347835300,-72.70447126000,Pembroke Street,P,Oct-18
Speed Bump,41.78852531300,-72.69699541650,Canterbury Street,P,Oct-18
Speed Bump,41.78932326010,-72.69688705620,Canterbury Street,P,Oct-18
Speed Bump,41.79027150790,-72.69676740010,Canterbury Street,P,Oct-18
Speed Bump,41.78040649370,-72.68151724240,Pliny Street,P,Oct-18
Speed Bump,41.78087044680,-72.68346048560,Pliny Street,P,Oct-18
Speed Bump,41.75098569600,-72.69592165920,Glendale Ave,P,Oct-18
Speed Bump,41.75726147660,-72.68398049030,Squire street,P,Oct-18
Speed Bump,41.75899761060,-72.68927731250,Babcock Street,P,Oct-18
Speed Bump,41.76053356330,-72.68924183200,Babcock Street,P,Oct-18
Speed Bump,41.76035280010,-72.69051029240,Putnam Street,P,Oct-18
Speed Bump,41.75921470730,-72.69054926080,Putnam Street,P,Oct-18
Speed Bump,41.74371642960,-72.68065507070,Bond Street ,P,Oct-18
Speed Bump,41.74394997910,-72.67912822750,Bond Street ,P,Oct-18
Speed Bump,41.74208341270,-72.68509970640,Mountford Street,P,Oct-18
Speed Bump,41.74258788900,-72.68576062370,Julius Street ,P,Oct-18
Speed Bump,41.74345992630,-72.68586481100,Julius Street ,P,Oct-18
Speed Bump,41.74442895270,-72.68596346160,Julius Street ,P,Oct-18
Speed Bump,41.74054077160,-72.68889453330,Henry Street,P,Oct-18
Speed Bump,41.79677929860,-72.67401541920,Cleveland Ave ,P,Oct-18
Speed Bump,41.79637169280,-72.67262357130,Cleveland Ave ,P,Oct-18
Speed Bump,41.79514159880,-72.66926359810,Cleveland Ave ,P,Oct-18
Speed Bump,41.79443395790,-72.66751377090,Cleveland Ave ,P,Oct-18
Speed Bump,41.78880176000,-72.68483382330,Vineland Terrance ,P,Oct-18
Speed Bump,41.78646908870,-72.68915770240,Mansfield Street ,P,Oct-18
Speed Bump,41.75969634070,-72.70336116870,Arbor Street,P,Oct-18
Speed Bump,41.76022059610,-72.70394776730,Orange Street ,P,Oct-18
Speed Bump,41.75904620070,-72.71020374870,Amity Street ,P,Oct-18
Speed Bump,41.75786379430,-72.71006068260,Amity Street ,P,Oct-18
Speed Bump,41.75548543560,-72.70847172760,Grace Street ,P,Oct-18
Speed Bump,41.75941782600,-72.71408662360,Beacon  Street,P,Oct-18
Speed Bump,41.75897695370,-72.71407987880,Beacon  Street,P,Oct-18
Speed Bump,41.75590355230,-72.70544906940,Francis Ave ,P,Oct-18
Speed Bump,41.75424131450,-72.70678195780,Francis Ave ,P,Oct-18
Speed Bump,41.75309677660,-72.70768971170,Francis Ave ,P,Oct-18
Speed Bump,41.73859238480,-72.69600204210,Monore Street ,P,Oct-18
Speed Bump,41.73600233020,-72.69562030910,Monore Street ,P,Oct-18
Speed Bump,41.73164926300,-72.70947286770,Nepaug Street,P,Oct-18
Speed Bump,41.73005554280,-72.70955535770,Nepaug Street,P,Oct-18
Speed Bump,41.73038906090,-72.71298054620,Grant Street,P,Oct-18
Speed Bump,41.72777828750,-72.71286996940,Grant Street ,P,Oct-18
Speed Bump,41.73021657240,-72.71395571990,Roslyn  Street ,P,Oct-18
Speed Bump,41.72802682320,-72.71384640720,Roslyn  Street ,P,Oct-18
Speed Bump,41.75016278250,-72.67604736020,Annawan Street ,P,Oct-18
Speed Bump,41.77852088400,-72.69342999050,Cabot Street,P,Oct-18
Speed Bump,41.78129622910,-72.70024086420,Adams Street ,P,Oct-18
Speed Bump,41.76233930400,-72.70854573840,Evergreen Ave,P,Oct-18
Speed Bump,41.76438763790,-72.70902150410,Evergreen Ave,P,Oct-18
Speed Bump,41.76559633230,-72.70929328670,Evergreen Ave,P,Oct-18
Speed Bump,41.73689793040,-72.68362565410,Douglas Street ,P,Oct-18
Speed Bump,41.73769443830,-72.68106561780,Douglas Street ,P,Oct-18
Speed Bump,41.73630768500,-72.68313916230,Gilman Street ,P,Oct-18
Speed Bump,41.73573170990,-72.68540197220,Gilman Street ,P,Oct-18
Speed Bump,41.73816381930,-72.67387811810,Wayland Street ,P,Oct-18
Speed Bump,41.73010065550,-72.67278088120,Bolton Street ,P,Oct-18
Speed Bump,41.73030000830,-72.67085675920,Bolton Street ,P,Oct-18
Speed Bump,41.72858930450,-72.66953532990,Victoria Rd,P,Oct-18
Speed Bump,41.72770739510,-72.67594969380,Victoria Rd,P,Oct-18
Speed Bump,41.78202300000,-72.67333100000,Bellevue Street,P,May-19
Speed Bump,41.78465000000,-72.67281800000,Bellevue Street,P,May-19
Speed Bump,41.78640700000,-72.67227700000,Bellevue Street,P,May-19
